Index,Area Factors,PCA Label,Cumulative Sum of Explained Variance Ratio,Reference Line,Larger than 99.9%?,
1,FEN_LotArea_Per_IndoorArea,PCA Label_1,0.98251064,0.999,FALSE,
2,FEN_MasVnrArea_Per_IndoorArea,PCA Label_2,0.98930887,0.999,FALSE,
3,FEN_BsmtFinSF1_Per_IndoorArea,PCA Label_3,0.9945354,0.999,FALSE,
4,FEN_BsmtFinSF2_Per_IndoorArea,PCA Label_4,0.99723126,0.999,FALSE,
5,FEN_BsmtUnfSF_Per_IndoorArea,PCA Label_5,0.9981143,0.999,FALSE,
6,FEN_TotalBsmtSF_Per_IndoorArea,PCA Label_6,0.99886643,0.999,FALSE,
7,FEN_1stFlrSF_Per_IndoorArea,PCA Label_7,0.99934222,0.999,TRUE,
8,FEN_2ndFlrSF_Per_IndoorArea,PCA Label_8,0.99964216,0.999,TRUE,
9,FEN_LowQualFinSF_Per_IndoorArea,PCA Label_9,0.99974394,0.999,TRUE,
10,FEN_GrLivArea_Per_IndoorArea,PCA Label_10,0.99983193,0.999,TRUE,
11,FEN_GarageArea_Per_IndoorArea,PCA Label_11,0.99989657,0.999,TRUE,
12,FEN_WoodDeckSF_Per_IndoorArea,PCA Label_12,0.99995407,0.999,TRUE,
13,FEN_OpenPorchSF_Per_IndoorArea,PCA Label_13,0.99998278,0.999,TRUE,
14,FEN_EnclosedPorch_Per_IndoorArea,PCA Label_14,1,0.999,TRUE,
15,FEN_3SsnPorch_Per_IndoorArea,PCA Label_15,1,0.999,TRUE,
16,FEN_ScreenPorch_Per_IndoorArea,PCA Label_16,1,0.999,TRUE,
17,FEN_PoolArea_Per_IndoorArea,PCA Label_17,1,0.999,TRUE,
