MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,FEN_IndoorArea,FE_SalePrice_Per_IndoorArea,FEN_LotArea_Per_IndoorArea,FEN_MasVnrArea_Per_IndoorArea,FEN_BsmtFinSF1_Per_IndoorArea,FEN_BsmtFinSF2_Per_IndoorArea,FEN_BsmtUnfSF_Per_IndoorArea,FEN_TotalBsmtSF_Per_IndoorArea,FEN_1stFlrSF_Per_IndoorArea,FEN_2ndFlrSF_Per_IndoorArea,FEN_LowQualFinSF_Per_IndoorArea,FEN_GrLivArea_Per_IndoorArea,FEN_GarageArea_Per_IndoorArea,FEN_WoodDeckSF_Per_IndoorArea,FEN_OpenPorchSF_Per_IndoorArea,FEN_EnclosedPorch_Per_IndoorArea,FEN_3SsnPorch_Per_IndoorArea,FEN_ScreenPorch_Per_IndoorArea,FEN_PoolArea_Per_IndoorArea,FEC_ExterQual_dual,FEC_LotShape_dual,FEC_ExterCond_dual,FEC_BsmtQual_dual,FEC_BsmtCond_dual,FEC_BsmtExposure_dual,FEC_BsmtFinType1_dual,FEC_BsmtFinType2_dual,FEC_HeatingQC_dual,FEC_Functional_dual,FEC_KitchenQual_dual,FEC_GarageQual_dual,FEC_GarageFinish_dual,FEC_GarageCond_dual,FEC_PavedDrive_dual,FEC_PoolQC_dual,FEC_Fence_dual,FEC_FireplaceQu_dual,FEC_Alley_dual,FEC_OverallQual_dual,FEC_OverallCond_dual,FEC_BsmtFullBath_dual,FEC_BsmtHalfBath_dual,FEC_FullBath_dual,FEC_HalfBath_dual,FEC_BedroomAbvGr_dual,FEC_KitchenAbvGr_dual,FEC_TotRmsAbvGrd_dual,FEC_Fireplaces_dual,FEC_GarageCars_dual,FEC_YearBuilt_dual,FEC_YearRemodAdd_dual,FEC_MoSold_dual,FEC_YrSold_dual,FEC_GarageYrBlt_dual,FEC_LotArea_dual,FEC_MasVnrArea_dual,FEC_BsmtFinSF1_dual,FEC_BsmtFinSF2_dual,FEC_BsmtUnfSF_dual,FEC_TotalBsmtSF_dual,FEC_1stFlrSF_dual,FEC_2ndFlrSF_dual,FEC_LowQualFinSF_dual,FEC_GrLivArea_dual,FEC_GarageArea_dual,FEC_WoodDeckSF_dual,FEC_OpenPorchSF_dual,FEC_EnclosedPorch_dual,FEC_3SsnPorch_dual,FEC_ScreenPorch_dual,FEC_PoolArea_dual,FEC_MiscVal_dual,FEC_LotFrontage_dual,FEN_YearAfterRemode,FEN_YearAfterbuilt,FEN_TotRmsAbvGrd_Per_GrLivArea,FEN_BsmtTotalbath,FEN_GrLivTotalbath
60,RL,65.0,8450,Pave,0,1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,4,3,PConc,3,3,1,6,706,1,0,150,856,GasA,5,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,3,8,7,0,0,Attchd,2003,2,2,548,3,3,3,0,61,0,0,0,0,0,0,None,0,2,2008,WD,Normal,208500,2566.01,81.25455473673134,3.2930502998819176,0.07638317855347407,0.27513532683037084,0.0,0.058456514199087296,0.33359184102945816,0.33359184102945816,0.332812420840137,0.0,0.6664042618695951,0.21356113187399892,0.0,0.023772315774295498,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,5,5,0.00467835983721647,1,3
20,RL,80.0,9600,Pave,0,1,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,4,5,978,1,0,284,1262,GasA,5,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,2,6,7,1,3,Attchd,1976,2,2,460,3,3,3,298,0,0,0,0,0,0,0,None,0,5,2007,WD,Normal,181500,2524.01,71.90938229246318,3.8034714600972257,0.0,0.3874786549974049,0.0,0.11251936402787627,0.4999980190252812,0.4999980190252812,0.0,0.0,0.4999980190252812,0.18224967412965873,0.11806609324051806,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,31,31,0.004754354394330908,1,2
60,RL,68.0,11250,Pave,0,2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,4,3,PConc,3,3,2,6,486,1,0,434,920,GasA,5,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,3,6,7,1,3,Attchd,2001,2,2,608,3,3,3,0,42,0,0,0,0,0,0,None,0,9,2008,WD,Normal,223500,2706.01,82.59392980809383,4.157412574232911,0.05986674106895391,0.17960022320686175,0.0,0.1603837384192963,0.339983961626158,0.339983961626158,0.32002838126984007,0.0,0.6600123428959981,0.22468505290076532,0.0,0.015521006943802868,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,6,7,0.0033594606050052606,1,3
70,RL,60.0,9550,Pave,0,2,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,2,4,1,5,216,1,0,540,756,GasA,4,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,3,7,7,1,4,Detchd,1998,1,3,642,3,3,3,0,35,272,0,0,0,0,0,None,0,2,2006,WD,Abnorml,140000,2473.01,56.61117423706333,3.8616908140282487,0.0,0.08734295453718342,0.0,0.21835738634295856,0.305700340880142,0.3885952745844133,0.305700340880142,0.0,0.6942956154645553,0.2596026704299618,0.0,0.014152793559265832,0.10998742423200876,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,36,91,0.004076875901644786,1,1
60,RL,84.0,14260,Pave,0,2,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,4,3,PConc,3,3,3,6,655,1,0,490,1145,GasA,5,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,3,9,7,1,3,Attchd,2000,2,3,836,3,3,3,192,84,0,0,0,0,0,0,None,0,12,2008,WD,Normal,250000,3343.01,74.78290522612855,4.265616914098372,0.10469606731657996,0.19593121169245678,0.0,0.14657449424321195,0.34250570593566876,0.34250570593566876,0.3149855968124534,0.0,0.6574913027481222,0.2500740350761739,0.057433271213666724,0.02512705615597919,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,8,8,0.004094629620277697,1,3
50,RL,85.0,14115,Pave,0,2,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,Wood,3,3,1,6,732,1,0,64,796,GasA,5,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,2,5,7,0,0,Attchd,1993,1,2,480,3,3,3,40,30,0,320,0,0,0,3,Shed,700,10,2009,WD,Normal,143000,2158.01,66.26475317537916,6.5407481893040345,0.0,0.33920139387676607,0.0,0.029656952470099765,0.3688583463468658,0.3688583463468658,0.2622786734074448,0.0,0.6311370197543106,0.22242714352574824,0.01853559529381235,0.013901696470359265,0.0,0.1482847623504988,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,14,16,0.003671069257658401,1,2
20,RL,75.0,10084,Pave,0,1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,4,3,PConc,4,3,3,6,1369,1,0,317,1686,GasA,5,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,3,7,7,1,4,Attchd,2004,2,2,636,3,3,3,255,57,0,0,0,0,0,0,None,0,8,2007,WD,Normal,307000,3380.01,90.828133644575,2.9834231259670827,0.05502942298987281,0.4050283874899778,0.0,0.09378670477306279,0.4988150922630406,0.5011819491658308,0.0,0.0,0.5011819491658308,0.18816512377182315,0.07544356377643853,0.016863855432380375,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,2,3,0.004132228965626349,1,2
60,RL,0.0,10382,Pave,0,2,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,3,3,CBlock,3,3,2,5,859,4,32,216,1107,GasA,5,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,2,7,7,2,3,Attchd,1973,2,2,484,3,3,3,235,204,228,0,0,0,0,0,Shed,350,11,2009,WD,Normal,200000,3197.01,62.558453054572865,3.2474092980628773,0.07507014366548743,0.26868855586939044,0.010009352488731658,0.06756312929893869,0.3462610376570608,0.3462610376570608,0.30747479676322564,0.0,0.6537358344202864,0.15139145639206633,0.07350618233912311,0.06380962211566432,0.07131663648221306,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,36,36,0.0033492806941240695,1,3
50,RM,51.0,6120,Pave,0,1,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,3,BrkTil,2,3,1,1,0,1,0,952,952,GasA,4,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,2,8,6,2,3,Detchd,1931,1,2,468,2,3,3,90,0,205,0,0,0,0,0,None,0,4,2008,WD,Abnorml,129900,2726.01,47.65206290512507,2.2450394532668625,0.0,0.0,0.0,0.3492283593970675,0.3492283593970675,0.3749069152350871,0.27586105700272556,0.0,0.6507679722378127,0.17167948760276006,0.03301528607745386,0.0,0.07520148495420045,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,58,77,0.004509580321544351,0,2
190,RL,50.0,7420,Pave,0,1,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,2,3,1,6,851,1,0,140,991,GasA,5,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,2,5,7,2,3,Attchd,1939,2,1,205,4,3,3,0,4,0,0,0,0,0,0,None,0,1,2008,WD,Normal,118000,2068.01,57.059685398039655,3.58799038689368,0.0,0.41150671418416734,0.0,0.06769793182818264,0.47920464601234997,0.5207905184210907,0.0,0.0,0.5207905184210907,0.09912911446269601,0.0,0.0019342266236623612,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,58,69,0.004642521223285772,1,1
