SalePrice,Unit_Price,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,FEN_IndoorArea,FEC_ExterQual_dual,FEC_LotShape_dual,FEC_ExterCond_dual,FEC_BsmtQual_dual,FEC_BsmtCond_dual,FEC_BsmtExposure_dual,FEC_BsmtFinType1_dual,FEC_BsmtFinType2_dual,FEC_HeatingQC_dual,FEC_Functional_dual,FEC_KitchenQual_dual,FEC_GarageQual_dual,FEC_GarageFinish_dual,FEC_GarageCond_dual,FEC_PavedDrive_dual,FEC_PoolQC_dual,FEC_Fence_dual,FEC_FireplaceQu_dual,FEC_Alley_dual,FEC_OverallQual_dual,FEC_OverallCond_dual,FEC_BsmtFullBath_dual,FEC_BsmtHalfBath_dual,FEC_FullBath_dual,FEC_HalfBath_dual,FEC_BedroomAbvGr_dual,FEC_KitchenAbvGr_dual,FEC_TotRmsAbvGrd_dual,FEC_Fireplaces_dual,FEC_GarageCars_dual,FEC_YearBuilt_dual,FEC_YearRemodAdd_dual,FEC_MoSold_dual,FEC_YrSold_dual,FEC_GarageYrBlt_dual,FEC_LotArea_dual,FEC_MasVnrArea_dual,FEC_BsmtFinSF1_dual,FEC_BsmtFinSF2_dual,FEC_BsmtUnfSF_dual,FEC_TotalBsmtSF_dual,FEC_1stFlrSF_dual,FEC_2ndFlrSF_dual,FEC_LowQualFinSF_dual,FEC_GrLivArea_dual,FEC_GarageArea_dual,FEC_WoodDeckSF_dual,FEC_OpenPorchSF_dual,FEC_EnclosedPorch_dual,FEC_3SsnPorch_dual,FEC_ScreenPorch_dual,FEC_PoolArea_dual,FEC_MiscVal_dual,FEC_LotFrontage_dual,FEN_YearAfterRemode,FEN_YearAfterbuilt,FEN_TotRmsAbvGrd_Per_GrLivArea,FEN_BsmtTotalbath,FEN_GrLivTotalbath,FEN_Area_comp0,FEN_Area_comp1,FEN_Area_comp2,FEN_Area_comp3,FEN_Area_comp4,FEN_Area_comp5,FEN_Area_comp7
208500,81.25423808,60,RL,65,8450,Pave,0,1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196,4,3,PConc,3,3,1,6,706,1,0,150,856,GasA,5,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,3,8,7,0,0,Attchd,2003,2,2,548,3,3,3,0,61,0,0,0,0,0,0,None,0,2,2008,WD,Normal,2566.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,5,5,0.00467836,1,3,-0.87175518,0.100640711,0.288171083,-0.106300411,-0.047490522,0.008575674,0.011476141
181500,71.90909739,20,RL,80,9600,Pave,0,1,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,CBlock,3,3,4,5,978,1,0,284,1262,GasA,5,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,2,6,7,1,3,Attchd,1976,2,2,460,3,3,3,298,0,0,0,0,0,0,0,None,0,5,2007,WD,Normal,2524.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,31,31,0.004754354,1,2,-0.357718725,-0.295348071,0.082467576,-0.023531502,-0.001948774,-0.030725542,-0.042402537
223500,82.59362459,60,RL,68,11250,Pave,0,2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162,4,3,PConc,3,3,2,6,486,1,0,434,920,GasA,5,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,3,6,7,1,3,Attchd,2001,2,2,608,3,3,3,0,42,0,0,0,0,0,0,None,0,9,2008,WD,Normal,2706.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,6,7,0.003359461,1,3,-0.008540451,0.168035102,0.156569474,-0.104032296,-0.054996755,0.020944011,0.001647681
140000,56.61094532,70,RL,60,9550,Pave,0,2,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,BrkTil,2,4,1,5,216,1,0,540,756,GasA,4,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,3,7,7,1,4,Detchd,1998,1,3,642,3,3,3,0,35,272,0,0,0,0,0,None,0,2,2006,WD,Abnorml,2473.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,36,91,0.004076876,1,1,-0.30368734,0.237484068,0.082421202,-0.012441963,-0.055000324,0.03639463,-0.059335107
250000,74.78268153,60,RL,84,14260,Pave,0,2,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350,4,3,PConc,3,3,3,6,655,1,0,490,1145,GasA,5,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,3,9,7,1,3,Attchd,2000,2,3,836,3,3,3,192,84,0,0,0,0,0,0,None,0,12,2008,WD,Normal,3343.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,8,8,0.00409463,1,3,0.099925535,0.14975349,0.174737218,-0.103835815,-0.083156929,0.038039744,0.041444033
143000,66.26444611,50,RL,85,14115,Pave,0,2,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,Wood,3,3,1,6,732,1,0,64,796,GasA,5,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,2,5,7,0,0,Attchd,1993,1,2,480,3,3,3,40,30,0,320,0,0,0,3,Shed,700,10,2009,WD,Normal,2158.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,14,16,0.003671069,1,2,2.37684728,0.011811911,0.270253974,-0.138043039,-0.037722575,-0.000196516,-0.05519488
307000,90.82786492,20,RL,75,10084,Pave,0,1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186,4,3,PConc,4,3,3,6,1369,1,0,317,1686,GasA,5,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,3,7,7,1,4,Attchd,2004,2,2,636,3,3,3,255,57,0,0,0,0,0,0,None,0,8,2007,WD,Normal,3380.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,2,3,0.004132229,1,2,-1.177542348,-0.314483637,0.111531811,-0.010663584,-0.018576682,-0.030073317,0.006049758
200000,62.55825738,60,RL,0,10382,Pave,0,2,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240,3,3,CBlock,3,3,2,5,859,4,32,216,1107,GasA,5,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,2,7,7,2,3,Attchd,1973,2,2,484,3,3,3,235,204,228,0,0,0,0,0,Shed,350,11,2009,WD,Normal,3197.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,36,36,0.003349281,1,3,-0.917380435,0.0804074,0.261877505,-0.108091121,0.011524096,-0.017501183,0.022384258
129900,47.6518881,50,RM,51,6120,Pave,0,1,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Sdng,None,0,3,3,BrkTil,2,3,1,1,0,1,0,952,952,GasA,4,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,2,8,6,2,3,Detchd,1931,1,2,468,2,3,3,90,0,205,0,0,0,0,0,None,0,4,2008,WD,Abnorml,2726.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,58,77,0.00450958,0,2,-1.922084602,0.253701981,-0.077400486,-0.028735887,0.002977484,0.001816094,-0.040740794
118000,57.05940948,190,RL,50,7420,Pave,0,1,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,BrkTil,2,3,1,6,851,1,0,140,991,GasA,5,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,2,5,7,2,3,Attchd,1939,2,1,205,4,3,3,0,4,0,0,0,0,0,0,None,0,1,2008,WD,Normal,2068.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,58,69,0.004642521,1,1,-0.572758553,-0.303412907,0.130103756,-0.003747766,0.064328751,-0.094371481,-0.030981839
